,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
15,OHLC/4,295,979,33,macds,228,236,2,49,0.54,2879,205,5,248,80,187,168,736,50,51,527,36,233,893,1000,267,468,421,1000,171,130,81,160,185,287,902,432,527,788,420,327,1131,1761,41,627,39,63,68,18,269,21,15,0.74,0.6,9.443802547354828,17.59112672483278,10.844508937298576,17.30475297183944,True,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,True,0.1832286936592862,True,False
16,close,125,699,35,macdh,131,36,3,46,0.71,1346,599,5,38,344,181,173,607,234,225,320,181,32,232,983,500,171,60,426,290,113,85,602,59,632,161,785,566,667,426,26,629,230,13,840,29,94,18,47,591,10,5,0.34,0.88,0.41,0.92,0.83,0.83,True,True,True,False,False,False,True,True,False,True,False,True,False,False,True,False,True,0.0906681329089463,True,False
17,high,116,402,43,macds,64,204,5,19,0.95,2640,184,249,167,610,162,86,640,30,27,607,28,226,123,893,679,137,49,760,628,209,134,424,675,463,221,315,169,782,173,22,706,2420,10,359,12,81,107,38,382,33,12,0.5,0.97,11.67011922965596,17.46555147456696,8.349924181234256,15.37630752722875,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,0.3214899301293694,True,False
18,HLC/3,721,1135,38,macds,31,54,5,4,0.6,1993,794,46,83,152,8,138,949,68,229,225,228,211,232,684,612,446,429,129,72,420,257,165,868,994,14,550,371,626,487,188,1175,1340,2,180,14,98,117,14,789,10,47,0.4,0.18,4.63,13.62,5.64,14.6,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,True,True,0.0493302831477371,True,False
19,high,308,1156,31,macds,248,164,6,14,0.56,2349,185,186,50,445,65,24,316,232,186,223,142,118,140,596,566,222,195,107,649,238,123,897,524,495,168,842,422,771,64,29,1224,739,41,70,7,30,91,37,800,6,2,0.1,0.01,1.27,4.71,2.48,7.77,False,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,0.0320837400469108,True,False
20,HLC/3,107,387,28,macd,52,215,5,32,0.18,2760,788,124,206,768,33,170,207,61,52,759,106,125,705,487,750,185,120,850,611,477,438,198,907,178,710,288,984,680,749,361,735,1432,32,549,21,109,81,36,347,6,42,0.25,0.93,0.56,0.85,0.81,0.8,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,0.0819687598543174,True,False
21,OHLC/4,201,257,40,macd,52,2,5,20,0.49,2462,975,29,184,150,62,78,335,158,220,472,219,206,436,756,668,174,54,766,281,466,350,232,219,156,120,939,747,416,801,314,367,1628,22,10,8,52,43,11,714,17,11,0.93,0.08,15.61484562421198,23.23236613779797,8.927624152449276,18.549847850039527,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,2.374745946066252,True,False
22,HL/2,141,934,4,macd,205,183,5,5,0.69,2737,160,111,184,999,130,38,707,30,45,681,2,179,315,935,542,213,33,79,949,398,25,612,960,259,161,453,915,255,406,191,361,721,6,721,22,62,50,47,579,28,9,0.45,0.31,0.65,15.62,7.77,16.53,False,True,False,True,True,False,False,False,True,False,False,False,True,False,True,True,True,2.062147034164155,True,False
23,HL/2,357,1269,15,macd,150,57,3,21,0.31,1457,837,207,183,993,43,64,388,35,180,271,246,143,672,534,979,212,84,241,131,159,15,633,482,99,738,998,398,411,258,345,1016,1484,10,933,8,102,208,45,119,23,2,0.52,0.92,0.83,6.09,3.15,10.82,False,False,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,1.5266264103921912,True,False
24,close,366,1143,34,macdh,240,111,4,3,0.66,2110,529,247,166,769,24,178,942,54,143,437,148,217,302,615,483,429,194,497,483,414,391,219,219,848,177,119,157,669,480,27,880,934,14,840,24,68,55,37,812,36,4,0.45,0.82,0.81,0.91,0.87,0.83,False,True,False,True,True,True,True,False,False,False,True,False,False,True,True,True,True,0.6937878747210453,True,False
25,close,88,1099,11,macd,123,208,4,11,0.33,1837,575,234,205,912,243,66,649,50,136,448,152,94,296,543,280,450,108,926,829,125,35,669,840,233,255,249,919,13,652,16,467,1049,5,587,10,61,25,10,159,7,4,0.34,0.81,15.68339709387645,15.68339709387645,3.857696150266082,3.857696150266082,True,False,True,False,True,True,True,True,False,True,False,True,False,False,True,False,True,1.0,True,False
26,high,701,1222,5,macds,218,193,2,49,0.92,1828,762,135,7,133,81,156,168,36,116,669,112,165,721,846,442,265,160,954,636,416,303,519,705,911,843,200,971,333,707,335,1089,7,24,968,40,46,72,35,599,42,43,0.99,0.87,9.314058208946252,17.42666349249862,15.497336055228844,20.582256372553204,True,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,True,0.017554027093560073,True,False
27,high,753,1372,14,macds,14,45,6,31,0.46,1090,252,113,28,689,126,198,727,53,189,963,217,240,432,775,705,47,44,633,537,91,51,816,709,928,816,501,569,339,331,431,517,457,15,99,32,45,101,31,43,50,4,0.43,0.64,15.03,16.03,19.06,17.9,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,0.0,False,True
28,HLC/3,380,908,34,macdh,134,127,6,36,0.66,2146,374,192,106,605,122,186,362,123,144,782,135,50,811,758,543,175,85,214,129,96,71,321,619,393,565,20,707,714,167,467,971,1271,38,691,5,82,95,5,448,1,29,0.04,0.57,19.31,18.81,16.38,15.5,False,True,False,False,False,True,False,True,True,False,True,True,False,False,True,False,False,0.0,False,True
29,HLC/3,495,1265,47,macdh,182,43,6,2,0.61,1419,398,210,51,399,155,175,16,59,40,488,137,87,991,916,654,440,392,292,56,271,21,66,245,755,349,225,613,745,493,70,1353,2451,22,624,9,73,157,41,340,46,8,0.23,0.12,16.94,18.4,17.9,19.8,False,False,True,False,False,False,True,True,True,False,False,True,True,True,False,False,False,0.0,False,True
30,high,7,52,10,macds,73,45,6,48,0.85,1102,265,137,132,857,183,189,119,210,184,592,78,246,822,857,69,66,21,121,288,278,227,355,40,874,830,318,883,792,600,281,532,369,21,31,6,36,194,9,877,19,19,0.44,0.63,15.35,18.21,19.45,19.47,True,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,0.0,False,True
31,HL/2,240,1109,28,macdh,184,233,6,4,0.15,1272,397,74,178,384,39,145,248,181,11,654,85,59,194,600,450,396,254,788,238,215,33,877,991,646,617,235,987,419,586,431,932,518,29,572,2,76,78,45,426,38,27,0.82,0.4,15.94,19.17,15.93,15.69,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,0.0,False,True
32,HL/2,58,417,38,macds,148,162,6,5,0.52,1763,640,182,228,249,132,37,382,55,147,160,169,4,178,803,368,140,59,900,879,384,148,655,467,359,272,352,870,255,829,356,612,1471,34,971,23,94,38,35,314,33,20,0.3,0.33,19.71,15.6,16.63,18.74,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,0.0,False,True
33,HL/2,356,499,25,macd,73,230,6,4,0.16,672,534,52,60,139,180,195,915,71,52,675,143,217,188,468,483,23,20,194,12,417,151,259,325,703,219,49,775,501,573,189,1176,41,34,904,42,71,22,46,464,50,10,0.88,0.59,17.09,18.84,15.17,17.06,False,True,True,True,False,True,True,False,True,False,False,True,True,False,True,True,False,0.0,False,True
34,HLC/3,568,1222,21,macdh,120,142,6,4,0.6,2434,680,23,110,317,198,168,826,155,12,586,33,232,697,804,617,449,75,915,375,147,12,603,13,615,670,481,587,925,654,482,959,1527,21,66,32,33,21,23,719,12,42,0.55,0.72,17.03,19.66,17.77,16.9,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,False,True,0.0,False,True
35,high,443,1470,6,macdh,50,76,6,40,0.57,1109,511,217,11,293,229,8,245,64,98,54,151,100,270,438,288,101,19,720,548,130,10,507,364,59,807,313,821,271,444,184,547,114,15,878,4,96,201,44,718,31,4,0.17,0.65,18.42,16.77,16.68,17.62,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,True,False,0.0,False,True
36,open,50,93,4,macds,41,74,6,50,0.51,2198,721,98,203,429,60,146,680,151,156,325,43,27,487,894,472,275,96,736,282,107,42,473,739,621,503,178,958,282,697,50,62,397,9,111,19,72,140,34,156,31,1,0.69,0.86,15.76,18.65,19.51,16.93,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,0.0,False,True
37,OHLC/4,321,1278,37,macds,145,188,6,50,0.79,1099,716,96,66,564,67,14,276,176,79,360,240,76,267,804,607,258,138,167,979,215,144,201,210,365,562,372,867,140,16,34,233,571,40,70,8,38,111,4,205,31,36,0.98,0.23,16.88,18.81,17.82,15.75,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,0.0,False,True
38,HL/2,79,417,9,macdh,71,124,6,3,0.43,1937,352,28,80,879,182,232,896,31,166,830,74,176,348,890,846,131,130,194,89,415,95,474,158,454,293,758,821,745,267,206,1223,1315,20,394,399,970,15,39,262,33,21,0.58,0.82,15.38,18.86,19.23,16.29,True,True,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,0.0,False,True
39,close,261,812,46,macds,163,95,6,35,0.72,1246,428,9,127,231,19,66,766,20,166,962,134,57,967,752,917,334,248,965,190,72,54,28,313,138,380,422,528,984,55,456,1068,1017,47,749,7,105,86,46,193,20,44,0.12,0.24,16.45,18.98,17.23,15.14,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,0.0,False,True
40,open,110,198,11,macd,209,242,4,43,0.33,895,200,224,3,139,60,209,48,120,247,830,126,95,617,845,744,385,187,792,441,133,60,785,475,453,259,277,990,599,413,85,822,134,49,488,35,56,119,31,644,21,33,0.66,0.49,15.93,16.28,16.41,19.79,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,False,,0.0,False,True
41,high,395,896,44,macdh,114,231,5,2,0.18,2274,553,202,232,797,214,32,654,194,18,72,188,39,944,407,269,113,63,596,291,59,42,265,27,718,935,299,137,973,31,362,899,894,19,419,10,61,135,43,488,16,27,0.46,0.47,16.65,15.75,18.31,17.4,True,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,,0.0,False,True
42,open,138,281,11,macdh,77,249,3,50,0.9,1432,513,4,14,125,7,191,589,41,95,375,193,130,556,915,804,164,60,998,179,109,52,153,597,995,570,404,644,404,738,134,1032,392,13,2,253,738,207,6,759,6,33,0.23,0.11,19.89,15.93,16.33,19.4,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,True,,0.0,False,True
43,HL/2,730,997,44,macd,57,109,3,20,0.81,2034,795,151,82,828,74,40,400,229,24,733,140,156,595,732,480,304,106,626,464,219,207,933,538,705,310,139,332,528,382,278,327,1193,3,194,38,53,190,17,771,31,37,0.91,0.66,18.27,16.46,15.4,16.99,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,,0.0,False,True
44,HL/2,219,899,30,macdh,84,237,6,17,0.22,2698,789,51,71,165,81,60,143,29,176,471,41,130,440,749,767,295,153,775,138,114,97,447,519,856,869,143,281,20,553,440,624,2164,36,437,33,188,113,33,46,13,26,0.41,0.48,16.52,15.27,19.47,17.57,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True,0.0,False,True
45,open,359,1070,8,macdh,27,221,2,5,0.67,1969,524,136,50,830,8,55,927,49,60,606,85,6,330,644,426,415,145,108,434,292,101,388,144,316,473,160,934,744,55,309,449,954,7,271,16,18,107,49,980,20,47,0.51,0.14,15.22,19.62,18.2,19.35,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,0.0,False,True
46,HLC/3,576,1351,12,macd,246,130,6,3,0.13,2999,621,173,52,297,58,38,529,130,59,231,192,213,129,878,771,330,235,598,272,74,30,616,760,495,887,217,922,603,261,204,1168,909,38,99,6,91,80,50,414,5,20,0.62,0.31,19.41,18.15,17.73,17.46,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,,0.0,False,True
47,low,22,136,7,macds,64,112,2,44,0.62,2670,453,219,46,970,178,125,411,174,164,783,212,244,473,681,583,100,98,778,421,358,340,381,530,850,321,410,136,79,312,329,1119,1509,34,979,5,35,59,9,127,6,15,0.74,0.15,18.83,19.1,16.97,17.19,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,,0.0,False,True
48,high,110,198,11,macd,209,242,4,43,0.33,895,200,224,3,139,60,209,48,120,247,830,126,95,617,845,744,385,187,833,591,133,60,785,475,453,259,277,990,599,413,85,822,134,49,488,35,56,119,31,644,21,33,0.66,0.49,16.55,16.42,19.52,18.13,True,True,True,True,False,False,True,True,False,True,False,False,True,False,False,True,,0.0,False,True
49,open,359,1070,8,macdh,27,221,2,5,0.67,1969,524,136,50,830,8,55,927,49,60,606,85,6,330,644,426,415,145,108,782,299,152,388,144,316,473,160,934,744,55,309,449,954,7,271,16,18,107,49,980,20,47,0.51,0.14,19.34,16.34,17.45,19.93,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,,0.0,False,True
50,close,548,935,23,macd,140,246,6,28,0.63,2495,793,9,171,98,231,52,707,127,106,872,248,79,600,961,828,484,25,936,446,201,121,281,2,970,203,26,869,426,930,234,718,546,15,237,30,67,60,25,401,12,9,0.65,0.24,17.75,17.99,16.59,18.38,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,,0.0,False,True
51,low,15,507,29,macd,102,37,3,18,0.29,2723,505,98,10,907,236,53,678,75,223,566,51,70,213,788,136,72,59,236,792,334,23,65,755,851,519,120,975,868,123,129,197,1488,25,432,383,1251,118,35,553,7,22,0.73,0.45,16.71,17.49,15.07,15.1,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,,0.0,False,True
52,open,395,896,44,macdh,114,231,5,2,0.18,2274,553,202,232,797,214,32,654,194,18,72,188,39,944,407,269,113,63,805,180,59,42,265,27,718,935,299,137,973,31,362,899,894,19,419,10,61,135,43,488,16,27,0.46,0.47,16.76,16.1,19.98,18.88,True,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,,0.0,False,True
53,open,395,896,44,macdh,114,231,5,2,0.18,2274,553,202,232,797,214,32,654,194,18,72,188,39,944,407,269,113,63,980,227,59,42,265,27,718,935,299,137,973,31,362,899,894,19,419,10,61,135,43,488,16,27,0.46,0.47,15.76,19.4,18.9,15.75,True,False,True,False,False,True,False,True,True,True,True,True,False,False,True,True,,0.0,False,True
54,high,110,198,11,macd,209,242,4,43,0.33,895,200,224,3,139,60,209,48,120,247,606,85,6,330,644,426,415,145,108,327,261,148,388,144,316,473,160,934,744,55,309,449,954,7,271,16,18,107,49,980,20,47,0.51,0.14,18.46,16.29,19.66,19.95,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,,0.0,False,True
55,open,359,1070,8,macdh,27,221,2,5,0.67,1969,524,136,50,830,8,55,927,49,60,830,126,95,617,845,744,385,187,684,564,133,60,785,475,453,259,277,990,599,413,85,822,134,49,488,35,56,119,31,644,21,33,0.66,0.49,18.79,17.31,17.3,19.0,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,False,,0.0,False,True
56,HL/2,13,1351,12,macd,246,130,6,3,0.13,2999,621,173,52,297,58,38,529,130,59,231,192,213,129,878,771,330,235,895,301,74,30,616,760,495,887,217,922,603,261,204,1168,909,38,99,6,91,80,50,414,5,20,0.74,0.15,16.9,15.59,16.66,15.12,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,True,,0.0,False,True
57,HLC/3,576,1479,16,macds,138,198,5,40,0.89,1598,361,233,226,383,212,131,799,241,24,327,124,228,29,672,532,491,302,370,186,80,24,54,572,325,503,438,2,144,447,211,1123,1532,46,386,28,35,99,3,950,20,15,0.5,0.04,19.89,15.61,16.25,17.91,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,,0.0,False,True
58,HL/2,730,997,44,macd,57,109,3,20,0.81,2034,795,151,82,828,74,40,400,229,24,733,140,156,595,675,476,126,106,816,585,410,226,281,2,970,203,26,869,426,930,234,718,546,15,237,30,67,60,25,401,12,9,0.65,0.24,15.51,15.66,16.14,17.43,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,True,,0.0,False,True
59,low,15,507,29,macd,102,37,3,18,0.29,2723,505,9,171,98,231,52,707,127,106,872,248,79,600,961,779,394,62,626,464,219,207,933,538,705,310,139,332,528,382,278,327,1193,3,194,38,53,190,17,771,6,33,0.23,0.11,19.36,15.74,17.12,17.82,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,True,,0.0,False,True
60,high,110,198,11,macd,209,242,4,43,0.33,895,200,224,3,139,60,209,48,120,247,830,126,95,617,845,744,385,187,905,720,133,60,785,475,453,259,277,990,599,413,85,822,134,49,476,34,42,173,14,496,12,16,0.74,0.44,18.24,17.76,19.08,19.99,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,,0.0,False,True
61,high,189,462,36,macdh,128,233,2,40,0.74,2886,322,6,137,357,59,12,865,77,183,712,157,10,419,979,698,406,132,983,750,182,75,65,703,373,281,942,57,569,217,100,396,2021,35,488,35,56,119,31,644,21,33,0.66,0.49,16.26,18.79,15.41,19.08,True,True,True,True,False,False,True,True,False,False,False,True,True,False,True,False,,0.0,False,True
62,close,143,779,42,macds,158,87,3,28,0.2,2012,652,139,31,88,151,10,589,224,182,991,217,76,742,997,280,207,203,178,363,157,6,32,816,993,89,232,161,820,395,277,607,80,47,255,18,30,182,33,322,23,5,0.11,0.27,19.08,15.74,19.06,17.24,True,True,False,False,False,False,True,True,True,False,True,True,True,False,True,False,,0.0,False,True
63,low,351,1370,23,macds,143,46,3,48,0.1,2250,297,14,2,658,67,136,694,56,83,550,35,237,142,625,415,201,33,387,179,77,74,334,740,412,195,611,906,140,413,254,983,1877,25,567,23,51,189,27,118,8,23,0.14,0.45,17.05,18.71,16.54,19.41,False,True,False,True,False,False,False,False,True,False,True,True,False,False,True,True,,0.0,False,True
64,high,189,462,36,macdh,128,233,2,40,0.74,2886,322,6,137,357,59,12,865,77,183,712,157,10,419,979,698,406,154,998,179,109,52,153,597,995,570,404,644,404,738,134,1032,392,13,2,253,738,207,6,759,31,37,0.91,0.66,19.09,15.89,19.35,15.01,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,,0.0,False,True
