,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
10,HLCC/4,68.0,791.0,35.0,macd,229.0,218.0,3.0,22.0,0.59,2784.0,232.0,170.0,66.0,34.0,89.0,176.0,9.0,23.0,148.0,720.0,143.0,55.0,368.0,833.0,531.0,307.0,286.0,139.0,906.0,442.0,129.0,695.0,762.0,483.0,514.0,818.0,552.0,490.0,577.0,256.0,917.0,32.0,8.0,749.0,24.0,61.0,30.0,33.0,650.0,4.0,13.0,0.65,0.52,11.598639142273122,20.411114554281585,12.114814903658722,18.25759611524473,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,True,False,0.158161522010678,True,False
11,OHLC/4,137.0,804.0,29.0,macds,139.0,153.0,4.0,11.0,0.56,2268.0,405.0,232.0,129.0,388.0,103.0,111.0,828.0,241.0,197.0,651.0,136.0,50.0,866.0,852.0,732.0,306.0,102.0,955.0,606.0,460.0,226.0,621.0,890.0,193.0,908.0,797.0,442.0,290.0,637.0,83.0,812.0,2138.0,43.0,789.0,36.0,75.0,172.0,41.0,359.0,42.0,4.0,0.07,0.08,8.13,15.15,6.42,13.21,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,True,5.096261626454437e-05,True,False
12,OHLC/4,128.0,1441.0,37.0,macd,219.0,56.0,2.0,9.0,0.88,948.0,810.0,80.0,5.0,98.0,18.0,161.0,715.0,209.0,188.0,588.0,76.0,38.0,397.0,885.0,599.0,403.0,112.0,872.0,170.0,457.0,37.0,719.0,609.0,313.0,801.0,296.0,381.0,711.0,911.0,168.0,682.0,903.0,6.0,733.0,24.0,85.0,3.0,22.0,982.0,8.0,11.0,0.3,0.03,9.35,15.99,10.96,14.95,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,2.662163904486004,True,False
13,open,149.0,737.0,4.0,macdh,86.0,19.0,6.0,14.0,0.01,2179.0,914.0,17.0,233.0,745.0,171.0,135.0,704.0,164.0,163.0,907.0,186.0,50.0,477.0,239.0,133.0,215.0,195.0,97.0,54.0,229.0,24.0,230.0,110.0,826.0,512.0,691.0,92.0,281.0,456.0,386.0,404.0,790.0,43.0,130.0,4.0,71.0,188.0,22.0,92.0,7.0,5.0,0.35,0.7,0.8,0.97,0.94,0.93,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,True,4.52773403329523,True,False
14,OHLC/4,358.0,524.0,30.0,macdh,113.0,16.0,6.0,3.0,0.5,2379.0,380.0,48.0,12.0,759.0,103.0,23.0,79.0,57.0,71.0,394.0,119.0,18.0,603.0,403.0,98.0,453.0,118.0,244.0,114.0,278.0,91.0,253.0,269.0,566.0,592.0,411.0,729.0,992.0,387.0,142.0,1044.0,2089.0,21.0,128.0,34.0,37.0,48.0,12.0,536.0,49.0,11.0,0.07,0.39,4.1,12.4,4.68,12.94,True,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,True,0.2125591068790323,True,False
15,open,122.0,680.0,16.0,macd,43.0,117.0,3.0,19.0,0.49,1925.0,246.0,163.0,77.0,592.0,21.0,49.0,879.0,102.0,145.0,162.0,60.0,41.0,307.0,998.0,915.0,415.0,156.0,138.0,521.0,288.0,244.0,790.0,752.0,200.0,774.0,873.0,329.0,151.0,570.0,155.0,1173.0,1631.0,37.0,913.0,21.0,84.0,20.0,44.0,44.0,17.0,15.0,0.4,0.12,0.91,0.97,0.9,0.91,True,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,1.2344276887102534,True,False
16,OHLC/4,690.0,1062.0,16.0,macd,237.0,54.0,3.0,38.0,0.7,2649.0,844.0,137.0,236.0,253.0,171.0,64.0,423.0,166.0,17.0,706.0,86.0,216.0,122.0,971.0,777.0,219.0,61.0,809.0,402.0,367.0,39.0,496.0,391.0,381.0,586.0,523.0,340.0,276.0,813.0,19.0,901.0,569.0,41.0,652.0,27.0,53.0,178.0,28.0,9.0,7.0,21.0,0.9,0.86,9.043337277188122,17.90897310806942,12.475535029763847,17.825034121428267,True,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True,0.0545691797405124,True,False
17,close,415.0,774.0,48.0,macd,169.0,13.0,4.0,24.0,0.32,1823.0,377.0,99.0,23.0,390.0,76.0,64.0,821.0,96.0,159.0,16.0,127.0,167.0,387.0,848.0,535.0,465.0,395.0,671.0,562.0,220.0,73.0,363.0,958.0,798.0,916.0,831.0,818.0,139.0,197.0,490.0,661.0,1166.0,25.0,972.0,5.0,32.0,17.0,35.0,678.0,30.0,25.0,0.64,0.58,10.991121972855671,22.646125289186948,10.050453007481474,15.60408321880379,True,True,True,True,True,False,True,False,True,False,True,False,True,False,True,True,True,0.7321679441929039,True,False
18,HLC/3,151.0,1231.0,24.0,macds,232.0,179.0,2.0,44.0,0.7,2201.0,408.0,6.0,33.0,33.0,83.0,31.0,320.0,229.0,179.0,406.0,101.0,67.0,580.0,669.0,513.0,308.0,306.0,805.0,702.0,373.0,325.0,676.0,938.0,514.0,949.0,482.0,713.0,156.0,722.0,395.0,416.0,1414.0,39.0,451.0,349.0,493.0,2.0,33.0,63.0,24.0,21.0,0.18,0.56,10.90269895570893,16.793790776975666,9.508365385471086,17.63702556315641,True,True,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,0.0939791399861351,True,False
19,close,432.0,1099.0,43.0,macdh,187.0,122.0,4.0,18.0,0.11,2579.0,882.0,23.0,40.0,791.0,65.0,24.0,711.0,208.0,45.0,385.0,45.0,165.0,948.0,689.0,296.0,289.0,34.0,212.0,976.0,29.0,2.0,309.0,287.0,186.0,676.0,285.0,324.0,809.0,426.0,352.0,598.0,1590.0,32.0,618.0,2.0,55.0,37.0,32.0,220.0,11.0,5.0,0.57,0.81,2.27,19.32,2.9,20.21,True,True,True,False,True,False,False,False,False,True,True,False,False,True,False,True,True,0.0072655095617929,True,False
20,HLCC/4,362.0,1033.0,21.0,macd,167.0,2.0,3.0,37.0,0.96,2557.0,769.0,78.0,42.0,635.0,77.0,59.0,835.0,164.0,245.0,138.0,97.0,175.0,632.0,656.0,592.0,339.0,156.0,607.0,483.0,121.0,58.0,826.0,195.0,67.0,748.0,952.0,354.0,757.0,448.0,446.0,546.0,414.0,50.0,932.0,13.0,107.0,193.0,13.0,10.0,10.0,2.0,0.02,0.9,11.29027703552316,20.44524678559885,12.0674631852685,26.05702227228525,True,True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,,1.256184135462047,True,False
21,high,362.0,1033.0,30.0,macd,97.0,99.0,5.0,37.0,0.52,2557.0,769.0,78.0,42.0,635.0,77.0,59.0,835.0,164.0,245.0,138.0,97.0,175.0,632.0,656.0,892.0,91.0,19.0,658.0,513.0,215.0,58.0,826.0,195.0,67.0,748.0,952.0,354.0,757.0,448.0,446.0,546.0,414.0,50.0,932.0,13.0,107.0,193.0,13.0,10.0,10.0,2.0,0.1,0.53,6.893778975430416,20.44524678559885,8.509234238832349,12.520394940998944,True,True,False,True,False,False,True,True,False,True,True,True,False,True,False,True,,7.593463138974767,True,False
22,HLC/3,198.0,415.0,32.0,macdh,97.0,192.0,3.0,15.0,0.61,2652.0,721.0,146.0,249.0,435.0,188.0,110.0,160.0,84.0,134.0,929.0,75.0,28.0,661.0,989.0,935.0,158.0,24.0,721.0,626.0,416.0,311.0,886.0,553.0,427.0,694.0,5.0,688.0,577.0,814.0,196.0,851.0,184.0,41.0,821.0,47.0,96.0,152.0,32.0,915.0,8.0,22.0,0.96,0.7,0.83,0.92,0.94,0.86,False,True,True,True,False,False,False,True,False,True,True,False,True,False,True,True,True,0.0945847209171242,True,False
23,HL/2,266.0,516.0,42.0,macdh,250.0,65.0,6.0,29.0,0.8,2938.0,434.0,179.0,42.0,156.0,184.0,76.0,204.0,21.0,76.0,66.0,51.0,194.0,197.0,447.0,564.0,483.0,321.0,231.0,340.0,109.0,20.0,281.0,274.0,890.0,4.0,962.0,850.0,778.0,81.0,97.0,766.0,1197.0,22.0,758.0,27.0,216.0,78.0,35.0,193.0,11.0,18.0,0.93,0.11,0.3340590815719557,0.3340590815719557,19.10861771462708,19.10861771462708,True,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,1.0,True,False
24,open,292.0,590.0,22.0,macdh,123.0,35.0,5.0,37.0,0.13,2512.0,106.0,225.0,236.0,772.0,138.0,6.0,199.0,15.0,81.0,391.0,121.0,211.0,13.0,703.0,580.0,492.0,484.0,67.0,406.0,140.0,51.0,285.0,957.0,703.0,676.0,198.0,863.0,883.0,822.0,465.0,740.0,603.0,46.0,820.0,22.0,66.0,79.0,17.0,585.0,9.0,15.0,0.38,0.29,4.1,12.4,4.68,12.94,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,False,True,0.0464637602251058,True,False
25,low,130.0,1234.0,7.0,macds,215.0,186.0,6.0,4.0,0.33,2203.0,298.0,218.0,162.0,512.0,16.0,163.0,612.0,210.0,22.0,804.0,118.0,102.0,435.0,726.0,498.0,436.0,262.0,116.0,288.0,84.0,54.0,751.0,36.0,916.0,226.0,89.0,781.0,519.0,824.0,261.0,790.0,595.0,16.0,60.0,448.0,1303.0,116.0,37.0,797.0,6.0,19.0,0.53,0.76,10.371891940902104,20.738607139183213,10.617154945823732,15.28388696589016,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,0.0003363286678351,True,False
26,HLCC/4,439.0,952.0,20.0,macds,156.0,43.0,3.0,18.0,0.89,1878.0,438.0,100.0,133.0,323.0,71.0,239.0,47.0,70.0,213.0,22.0,70.0,26.0,407.0,371.0,332.0,294.0,14.0,114.0,81.0,60.0,15.0,111.0,10.0,69.0,752.0,125.0,310.0,293.0,44.0,465.0,640.0,1331.0,25.0,228.0,15.0,22.0,129.0,47.0,584.0,7.0,24.0,0.83,0.74,6.72,13.37,8.07,13.09,True,False,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,0.0585736478264061,True,False
27,HL/2,77.0,459.0,45.0,macd,143.0,229.0,3.0,41.0,0.96,1902.0,851.0,206.0,220.0,109.0,5.0,160.0,540.0,196.0,37.0,913.0,180.0,20.0,695.0,750.0,145.0,270.0,76.0,218.0,152.0,225.0,171.0,36.0,915.0,351.0,822.0,428.0,811.0,735.0,609.0,122.0,269.0,1194.0,24.0,827.0,45.0,102.0,95.0,4.0,262.0,13.0,36.0,0.91,0.37,0.87,0.88,0.97,1.0,True,False,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,1.1187081754743262,True,False
28,HL/2,199.0,1027.0,27.0,macdh,75.0,106.0,2.0,21.0,0.56,2644.0,673.0,23.0,227.0,699.0,153.0,103.0,968.0,155.0,131.0,297.0,78.0,75.0,522.0,649.0,170.0,133.0,114.0,967.0,443.0,116.0,85.0,443.0,589.0,377.0,203.0,788.0,909.0,280.0,513.0,92.0,292.0,39.0,32.0,632.0,48.0,84.0,90.0,7.0,508.0,8.0,10.0,0.4,0.3,0.9,1.0,-0.12,1.23,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,,0.0294312947604687,True,False
29,OHLC/4,199.0,1027.0,31.0,macdh,158.0,190.0,2.0,21.0,0.92,2644.0,673.0,23.0,227.0,699.0,153.0,103.0,968.0,155.0,131.0,297.0,78.0,75.0,522.0,649.0,170.0,133.0,114.0,967.0,443.0,116.0,85.0,443.0,589.0,377.0,203.0,788.0,909.0,280.0,513.0,92.0,292.0,39.0,32.0,632.0,48.0,84.0,90.0,7.0,508.0,8.0,10.0,0.27,0.76,9.56,12.3,8.63,16.19,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,,0.0033116569526834,True,False
30,close,143.0,779.0,42.0,macds,158.0,87.0,3.0,28.0,0.2,2012.0,652.0,139.0,31.0,88.0,151.0,10.0,589.0,224.0,182.0,991.0,217.0,76.0,742.0,997.0,280.0,207.0,203.0,178.0,90.0,455.0,6.0,32.0,816.0,993.0,89.0,232.0,161.0,820.0,395.0,277.0,607.0,80.0,47.0,255.0,18.0,30.0,182.0,33.0,322.0,23.0,5.0,0.11,0.27,10.611341401043996,22.560646961055607,10.37512819416715,17.836272271887488,True,True,False,False,False,False,True,True,True,False,True,True,True,False,True,False,True,0.8530327933600029,True,False
31,HLCC/4,715.0,857.0,45.0,macd,57.0,22.0,2.0,18.0,0.23,2347.0,200.0,92.0,16.0,301.0,109.0,9.0,805.0,71.0,125.0,740.0,79.0,97.0,159.0,787.0,750.0,364.0,279.0,132.0,57.0,132.0,94.0,441.0,2.0,15.0,304.0,245.0,407.0,21.0,699.0,203.0,689.0,751.0,44.0,120.0,281.0,1114.0,110.0,42.0,757.0,11.0,3.0,0.1,0.66,0.99,0.9,0.8,0.99,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,0.012998083526602795,True,False
32,close,98.0,1341.0,26.0,macd,141.0,52.0,5.0,2.0,0.67,1524.0,856.0,5.0,33.0,147.0,29.0,56.0,555.0,30.0,52.0,954.0,131.0,122.0,809.0,543.0,450.0,178.0,94.0,929.0,299.0,219.0,91.0,635.0,877.0,284.0,615.0,582.0,544.0,591.0,110.0,18.0,218.0,745.0,47.0,465.0,386.0,494.0,8.0,12.0,184.0,36.0,44.0,0.99,0.33,8.4,18.51,6.04,14.04,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,0.2302562143981991,True,False
33,close,548.0,935.0,23.0,macd,140.0,246.0,6.0,28.0,0.63,2495.0,793.0,98.0,10.0,907.0,236.0,53.0,678.0,75.0,223.0,566.0,51.0,70.0,213.0,788.0,60.0,448.0,299.0,236.0,162.0,168.0,23.0,65.0,755.0,851.0,519.0,120.0,975.0,868.0,123.0,129.0,197.0,1488.0,25.0,432.0,383.0,1251.0,118.0,35.0,553.0,7.0,22.0,0.73,0.45,-0.25,8.68,3.4,6.14,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True,False,False,1.4449125779421135,True,False
